Zeit,Bodentemp,Lufttemp,Lastgang
1,"5,5","9,7","8.490,9"
2,"5,6","10,1","8.596,7"
3,"5,6","9,5","8.649,7"
4,"5,6","8,9","8.861,4"
5,"5,6","8,2","8.940,8"
6,"5,6","8,3","8.993,7"
7,"5,6","7,5","9.020,2"
8,"5,6","6,9","9.046,7"
9,"5,7","6,8","9.073,1"
10,"5,7","6,7","8.490,9"
11,"5,7","7,5","7.485,1"
12,"5,7","7,9","6.585,2"
13,"5,7","7,4","5.897,1"
14,"5,7","7,9","5.526,5"
15,"5,7","7,9","5.447,1"
16,"5,7",7,"5.764,7"
17,"5,8","6,1","6.638,1"
18,"5,8","5,8","7.114,6"
19,"5,8","5,5","7.352,8"
20,"5,8","6,1","7.511,6"
21,"5,8","5,9","7.696,8"
22,"5,8","6,4","7.855,6"
23,"5,8",6,"8.067,4"
24,"5,8","5,6","8.252,7"
25,"5,8","5,6","8.332,1"
26,"5,9","5,9","8.279,1"
27,"5,9","5,4","7.988,0"
28,"5,9","4,7","8.279,1"
29,"5,9","4,6","8.067,4"
30,"5,9","4,9","8.490,9"
31,"5,9",5,"8.490,9"
32,"5,9","4,6","8.570,3"
33,"5,9","4,2","8.702,6"
34,"5,9","4,7","8.093,8"
35,"5,9",5,"7.088,1"
36,"5,9","5,1","6.744,0"
37,"5,9","5,5","6.611,7"
38,"5,9","6,2","6.558,7"
39,"6,0","6,1","6.426,4"
40,"6,0","5,4","6.558,7"
41,"6,0","5,2","6.611,7"
42,"6,0","4,4","6.691,1"
43,"6,0","4,2","6.691,1"
44,"6,0","4,2","6.717,5"
45,"6,0","3,6","6.717,5"
46,"6,0","4,1","6.744,0"
47,"6,0","4,1","6.770,5"
48,"6,0","3,9","6.902,8"
49,"6,0","4,1","7.008,7"
50,"6,0","4,4","6.955,7"
51,"6,0","4,1","6.982,2"
52,"6,0","4,7","7.061,6"
53,"6,0",5,"7.088,1"
54,"6,0","6,5","7.114,6"
55,"6,0","8,2","7.114,6"
56,"6,0","8,8","7.141,0"
57,"6,0","6,3","7.167,5"
58,"6,0","6,6","7.114,6"
59,"6,0","7,4","6.876,3"
60,"6,0","7,9","6.664,6"
61,"6,0","4,2","6.505,8"
62,"6,0","7,7","6.426,4"
63,"6,0",8,"6.452,9"
64,"6,0",8,"6.823,4"
65,"6,0","7,4","7.352,8"
66,"6,0","7,3","7.643,9"
67,"6,0","7,2","7.855,6"
68,"6,0",7,"7.643,9"
69,"6,0",7,"7.485,1"
70,"6,0","7,2","7.273,4"
71,"6,0","7,3","7.246,9"
72,"6,0","6,6","7.273,4"
73,"6,0",7,"7.246,9"
74,"6,0","6,9","7.114,6"
75,"6,0","6,7","6.929,3"
76,"6,1","6,6","6.558,7"
77,"6,1","6,4","6.399,9"
78,"6,1","4,8","6.267,6"
79,"6,1","5,4","6.241,1"
80,"6,1","5,4","6.347,0"
81,"6,1",5,"6.161,7"
82,"6,1","5,2","6.002,9"
83,"6,1","5,8","5.897,1"
84,"6,1","5,5","5.844,1"
85,"6,1","5,6","6.055,9"
86,"6,1","5,9","6.267,6"
87,"6,1","5,8","6.320,5"
88,"6,1",6,"6.294,1"
89,"6,1","6,3","6.452,9"
90,"6,1",7,"6.479,3"
91,"6,1","8,3","6.399,9"
92,"6,1","9,8","6.452,9"
93,"6,1","10,3","6.452,9"
94,"6,1",10,"6.399,9"
95,"6,1","9,8","6.585,2"
96,"6,1","9,1","6.664,6"
97,"6,1","8,7","6.611,7"
98,"6,1","8,1","6.585,2"
99,"6,1","7,2","6.585,2"
100,"6,1","6,9","6.638,1"
101,"6,1","6,5","7.088,1"
102,"6,1","7,4","7.246,9"
103,"6,1","7,8","7.379,2"
104,"6,1","8,2","7.299,8"
105,"6,1","8,3","7.379,2"
106,"6,1","8,8","7.485,1"
107,"6,1","8,7","7.432,2"
108,"6,1","9,6","7.379,2"
109,"6,1","10,1","7.326,3"
110,"6,1","10,1","7.379,2"
111,"6,1",9,"7.299,8"
112,"6,1","8,6","7.379,2"
113,"6,1","8,5","7.511,6"
114,"6,1","8,4","7.591,0"
115,"6,1",8,"7.749,8"
116,"6,1","7,8","7.749,8"
117,"6,1","7,5","7.802,7"
118,"6,1","7,8","7.829,2"
119,"6,1","7,8","7.988,0"
120,"6,1","7,8","8.093,8"
121,"6,1","7,8","8.252,7"
122,"6,1","7,9","8.570,3"
123,"6,1","7,6","8.623,2"
124,"6,2","7,2","8.702,6"
125,"6,2",7,"8.861,4"
126,"6,2","6,7","9.205,5"
127,"6,2","5,9","9.734,8"
128,"6,2","5,7","9.893,6"
129,"6,2","5,3","9.787,8"
130,"6,2","5,7","9.284,9"
131,"6,2","6,9","8.782,0"
132,"6,2","7,4","8.570,3"
133,"6,2",7,"8.729,1"
134,"6,2","6,9","8.596,7"
135,"6,2","7,3","8.596,7"
136,"6,2","7,3","8.755,5"
137,"6,2",7,"9.231,9"
138,"6,2","6,9","9.734,8"
139,"6,2","6,7","10.237,7"
140,"6,3","6,6","10.581,8"
141,"6,3","6,5","10.740,6"
142,"6,3","6,6","11.217,0"
143,"6,3","6,5","11.402,3"
144,"6,3","6,6","11.666,9"
145,"6,3","6,6","11.905,2"
146,"6,3","6,7","12.011,0"
147,"6,3","6,5","12.275,7"
148,"6,3","6,2","12.408,0"
149,"6,3","6,3","12.513,9"
150,"6,3","6,1","12.540,4"
151,"6,3","5,6","12.302,2"
152,"6,3","5,3","12.011,0"
153,"6,3","5,1","11.561,1"
154,"6,3",5,"11.031,7"
155,"6,3","5,2","9.946,6"
156,"6,3","5,3","9.549,6"
157,"6,4","5,4","9.179,0"
