utc_timestamp,cet_cest_timestamp,DE_load_actual_entsoe_transparency,DE_load_forecast_entsoe_transparency,DE_solar_capacity,DE_solar_generation_actual,DE_solar_profile,DE_wind_capacity,DE_wind_generation_actual,DE_wind_profile,DE_wind_offshore_capacity,DE_wind_offshore_generation_actual,DE_wind_offshore_profile,DE_wind_onshore_capacity,DE_wind_onshore_generation_actual,DE_wind_onshore_profile,DE_50hertz_load_actual_entsoe_transparency,DE_50hertz_load_forecast_entsoe_transparency,DE_50hertz_solar_generation_actual,DE_50hertz_wind_generation_actual,DE_50hertz_wind_offshore_generation_actual,DE_50hertz_wind_onshore_generation_actual,DE_LU_load_actual_entsoe_transparency,DE_LU_load_forecast_entsoe_transparency,DE_LU_price_day_ahead,DE_LU_solar_generation_actual,DE_LU_wind_generation_actual,DE_LU_wind_offshore_generation_actual,DE_LU_wind_onshore_generation_actual,DE_amprion_load_actual_entsoe_transparency,DE_amprion_load_forecast_entsoe_transparency,DE_amprion_solar_generation_actual,DE_amprion_wind_onshore_generation_actual,DE_tennet_load_actual_entsoe_transparency,DE_tennet_load_forecast_entsoe_transparency,DE_tennet_solar_generation_actual,DE_tennet_wind_generation_actual,DE_tennet_wind_offshore_generation_actual,DE_tennet_wind_onshore_generation_actual,DE_transnetbw_load_actual_entsoe_transparency,DE_transnetbw_load_forecast_entsoe_transparency,DE_transnetbw_solar_generation_actual,DE_transnetbw_wind_onshore_generation_actual
2017-12-31T23:00:00Z,2018-01-01T00:00:00+0100,41556,41306,41731,0,0,42863,31578,0.7367,3483,2917,0.8376,39380,28660,0.7278,6367,5174,0,10395,195,10201,,,,,,,,16885,16516,0,7062,13402,14725,0,13035,2723,10313,4902,4891,0,1086
2018-01-01T00:00:00Z,2018-01-01T01:00:00+0100,40613,39459,41731,0,0,42863,33105,0.7724,3483,2999,0.8612,39380,30106,0.7645,6297,4886,0,10764,127,10637,,,,,,,,16611,15845,0,7189,12936,14113,0,14049,2872,11177,4768,4615,0,1103
2018-01-01T01:00:00Z,2018-01-01T02:00:00+0100,39713,38437,41731,0,0,42863,33868,0.7902,3483,3096,0.8888,39380,30773,0.7814,6098,4829,0,10729,118,10612,,,,,,,,16579,15496,0,7218,12365,13742,0,14967,2978,11989,4670,4370,0,953
2018-01-01T02:00:00Z,2018-01-01T03:00:00+0100,38496,38260,41731,0,0,42863,34778,0.8114,3483,3137,0.9006,39380,31641,0.8035,5625,4868,0,10596,171,10425,,,,,,,,16276,15413,0,7291,12075,13625,0,15896,2966,12931,4521,4355,0,994
2018-01-01T03:00:00Z,2018-01-01T04:00:00+0100,38487,38562,41731,0,0,42863,34741,0.8105,3483,3212,0.9222,39380,31529,0.8006,5660,5010,0,10796,249,10547,,,,,,,,16221,15385,0,7188,12000,13735,0,15755,2963,12791,4605,4431,0,1003
2018-01-01T04:00:00Z,2018-01-01T05:00:00+0100,38750,38668,41731,0,0,42863,35345,0.8246,3483,3281,0.9421,39380,32063,0.8142,6082,5099,0,10932,322,10611,,,,,,,,16078,15178,0,7298,12082,13982,0,16094,2960,13134,4507,4409,0,1021
2018-01-01T05:00:00Z,2018-01-01T06:00:00+0100,37786,37845,41731,0,0,42863,34738,0.8104,3483,3291,0.9449,39380,31447,0.7986,5892,5048,0,10525,327,10199,,,,,,,,15493,14631,0,7042,12043,13908,0,16243,2964,13278,4357,4259,0,928
2018-01-01T06:00:00Z,2018-01-01T07:00:00+0100,38015,39405,41731,0,0,42863,34200,0.7979,3483,3282,0.9422,39380,30918,0.7852,5883,5809,0,10787,327,10461,,,,,,,,15545,14777,0,6627,12244,14392,0,15948,2955,12993,4344,4427,0,837
2018-01-01T07:00:00Z,2018-01-01T08:00:00+0100,39138,42383,41731,173,0.0042,42863,33596,0.7838,3483,3285,0.9431,39380,30311,0.7697,6331,6991,86,11346,327,11020,,,,,,,,16092,15964,16,6344,12514,14835,29,15080,2958,12122,4202,4593,42,826
2018-01-01T08:00:00Z,2018-01-01T09:00:00+0100,41543,45299,41731,1565,0.0375,42863,34088,0.7953,3483,3277,0.9409,39380,30811,0.7824,6945,7537,577,11713,327,11386,,,,,,,,16984,17251,297,6247,13166,15730,402,15242,2950,12292,4448,4780,289,886
2018-01-01T09:00:00Z,2018-01-01T10:00:00+0100,43828,47925,41731,4037,0.0967,42863,34934,0.815,3483,3196,0.9175,39380,31738,0.806,7433,7917,1286,12238,327,11911,,,,,,,,17871,18287,876,6389,14021,16551,1194,15392,2868,12524,4502,5171,680,915
2018-01-01T10:00:00Z,2018-01-01T11:00:00+0100,46382,50622,41731,6000,0.1438,42863,35552,0.8294,3483,3253,0.9339,39380,32300,0.8202,8065,8611,1755,12400,327,12073,,,,,,,,18757,19338,1440,6512,14870,17272,1730,15711,2925,12786,4690,5401,1076,929
2018-01-01T11:00:00Z,2018-01-01T12:00:00+0100,48152,50717,41731,6409,0.1536,42863,34884,0.8138,3483,3288,0.944,39380,31596,0.8023,8336,8068,1794,12271,327,11944,,,,,,,,19753,19750,1479,6069,15117,17179,1857,15585,2961,12624,4946,5720,1280,959
2018-01-01T12:00:00Z,2018-01-01T13:00:00+0100,47353,48984,41731,5685,0.1362,42863,32576,0.76,3483,3286,0.9433,39380,29291,0.7438,7992,7488,1373,11224,327,10897,,,,,,,,19691,19287,1180,5489,14849,16748,1893,14839,2959,11880,4822,5461,1240,1025
2018-01-01T13:00:00Z,2018-01-01T14:00:00+0100,46271,47353,41731,4028,0.0966,42863,28858,0.6732,3483,3280,0.9417,39380,25578,0.6495,7635,7060,814,9857,327,9530,,,,,,,,19157,18940,796,4697,14415,16378,1408,13466,2953,10513,5064,4974,1011,838
2018-01-01T14:00:00Z,2018-01-01T15:00:00+0100,46180,47048,41731,1548,0.0371,42863,26414,0.6162,3483,4231,1.2148,39380,22183,0.5633,7444,6959,224,8552,327,8225,,,,,,,,19159,18992,293,4233,14479,16127,624,13024,3904,9120,5096,4969,406,605
2018-01-01T15:00:00Z,2018-01-01T16:00:00+0100,48376,48415,41731,41,0.001,42863,23529,0.5489,3483,4006,1.1502,39380,19523,0.4958,8132,7088,1,7390,327,7063,,,,,,,,19729,19414,10,4044,15364,16677,18,11529,3679,7850,5152,5235,12,565
2018-01-01T16:00:00Z,2018-01-01T17:00:00+0100,52139,52255,41731,0,0,42863,21898,0.5109,3483,3687,1.0586,39380,18211,0.4624,8977,7881,0,6712,327,6385,,,,,,,,20744,20824,0,4213,16695,17760,0,10293,3360,6933,5722,5790,0,681
2018-01-01T17:00:00Z,2018-01-01T18:00:00+0100,52886,53384,41731,0,0,42863,20979,0.4895,3483,3256,0.9348,39380,17723,0.45,9215,8309,0,6411,327,6084,,,,,,,,20973,21203,0,4132,16918,17987,0,9605,2929,6676,5780,5886,0,831
2018-01-01T18:00:00Z,2018-01-01T19:00:00+0100,51562,52496,41731,0,0,42863,20443,0.477,3483,3104,0.8912,39380,17339,0.4403,9042,8130,0,6494,327,6167,,,,,,,,20508,20944,0,3938,16372,17581,0,9058,2777,6281,5640,5840,0,953
